date,wban,stn,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,usaf,name,country,state,call,lat,lon,elev,begin,end,point_gis,fake_date
1950-01-01,99999,303370,1950,01,01,-31.2,6,-35.2,6,1029.8,6,9999.9,0,999.9,0,0.3,6,1.9,999.9,-29,*,-36,*,99.99,,999.9,0,0,1,0,0,0,303370,KAZACHINSK,RS,,,56.317,107.617,+0362.0,19480101,20190831,POINT(107.617 56.317),2000-01-01
1950-01-01,99999,717050,1950,01,01,21.9,4,12.1,4,1032.4,4,9999.9,0,19.9,4,5.5,4,7.0,999.9,22.5,*,21.4,*,0,I,999.9,0,0,0,0,0,0,717050,GREATER MONCTON INTL,CA,,CYQM,46.112,-64.679,+0070.7,19420101,20190831,POINT(-64.679 46.112),2000-01-01
1950-01-01,13822,999999,1950,01,01,41.2,5,34.8,5,1034.3,5,998.2,5,10.7,5,6.8,5,8.0,999.9,42.1,*,39.9,*,0,I,999.9,0,0,0,0,0,0,999999,GREENVILLE DONALDSON AFB,US,SC,,34.767,-82.383,+0298.1,19490101,19630430,POINT(-82.383 34.767),2000-01-01
1950-01-01,99999,407180,1950,01,01,48,5,43.6,5,9999.9,0,9999.9,0,8.5,5,3.6,5,5.1,999.9,52,*,43,*,0,I,999.9,0,0,0,0,0,0,407180,ANZALI,IR,,,37.467,49.467,-0026.0,19320102,20190831,POINT(49.467 37.467),2000-01-01
1950-01-01,99999,315040,1950,01,01,-11.4,7,-23.1,7,1008.8,7,9999.9,0,999.9,0,28.6,7,39.0,999.9,-6,,-18,*,0,I,999.9,0,0,0,0,0,0,315040,SUHANOVKA,RS,,,51.35,139.1,+0063.0,19471231,20081117,POINT(139.1 51.35),2000-01-01
1950-01-01,99999,299370,1950,01,01,-17.3,4,9999.9,0,1027.4,4,9999.9,0,999.9,0,2.5,4,8.0,999.9,-4,,-36,*,99.99,,999.9,0,1,0,0,0,0,299370,ALEJSKAJA,RS,,,52.517,82.767,+0175.0,19480101,20190831,POINT(82.767 52.517),2000-01-01
1950-01-01,99999,309710,1950,01,01,-27.5,4,9999.9,0,1023.2,4,9999.9,0,12.4,4,3.5,4,8.0,999.9,-11,*,-36,*,0,I,999.9,0,0,0,0,0,0,309710,ALEKSANDROVSKIJ ZAVOD,RS,,,50.917,117.933,+0807.0,19480101,20180808,POINT(117.933 50.917),2000-01-01
1950-01-01,99999,343910,1950,01,01,-9.4,5,9999.9,0,1008.4,5,9999.9,0,7.5,5,7.2,5,12.0,999.9,1,,-15,,0,I,999.9,0,0,0,0,0,0,343910,ALEKSANDROV-GAJ,RS,,,50.15,48.55,+0025.0,19320101,20190819,POINT(48.55 50.15),2000-01-01
1950-01-01,99999,320610,1950,01,01,-7.4,5,9999.9,0,1007.7,5,9999.9,0,12.4,5,5.2,5,12.0,999.9,0,*,-22,,0,I,999.9,0,0,0,0,0,0,320610,ALEKSANDROVSK-SAHALINSKIJ,RS,,,50.9,142.167,+0031.0,19311231,20190831,POINT(142.167 50.9),2000-01-01
1950-01-01,99999,310040,1950,01,01,-30.7,6,-32.2,5,1024,6,9999.9,0,16.6,6,7.6,6,14.0,999.9,-27,,-40,,99.99,,999.9,0,0,1,0,0,0,310040,ALDAN,RS,,,58.617,125.367,+0679.0,19341013,20190831,POINT(125.367 58.617),2000-01-01
1950-01-01,99999,719250,1950,01,01,-47.8,5,9999.9,0,1029.7,5,1029.7,5,10.9,5,5.2,5,8.9,999.9,-46.5,*,-48.6,*,0,I,999.9,0,0,0,0,0,0,719250,CAMBRIDGE BAY,CA,,CYCB,69.108,-105.138,+0027.4,19341001,20190831,POINT(-105.138 69.108),2000-01-01
1950-01-01,99999,763490,1950,01,01,65,8,61.3,8,1022.3,8,9999.9,0,24.9,8,4.3,8,6.0,999.9,73,*,57.9,,0,I,999.9,0,0,0,0,0,0,763490,CAMARGO,MX,,,26.317,-98.833,+0068.0,19490701,19520101,POINT(-98.833 26.317),2000-01-01
1950-01-01,99999,946590,1950,01,01,82.9,6,36,5,9999.9,0,9999.9,0,27.3,5,14.3,6,15.9,999.9,93,,62.1,,0,I,999.9,0,0,0,0,0,0,946590,WOOMERA,AS,,YPWR,-31.144,136.817,+0167.0,19490331,20190831,POINT(136.817 -31.144),2000-01-01
1950-01-01,99999,943000,1950,01,01,89,5,71.6,5,9999.9,0,9999.9,0,13.9,5,7.8,5,15.0,999.9,95,*,82,*,0,I,999.9,0,0,0,0,0,0,943000,CARNARVON AIRPORT,AS,,,-24.883,113.667,+0008.0,19450109,20190831,POINT(113.667 -24.883),2000-01-01
1950-01-01,99999,354260,1950,01,01,8,4,1.8,4,1011.2,4,9999.9,0,999.9,0,9.7,4,22.9,999.9,28,*,-9,,0.08,E,999.9,0,0,1,0,0,0,354260,TEMIR,KZ,,,49.15,57.117,+0234.0,19480103,20190831,POINT(57.117 49.15),2000-01-01
1950-01-01,13733,999999,1950,01,01,40.5,24,26.8,24,1032.5,24,997.3,24,9.1,24,4.6,24,7.0,999.9,55.9,*,32,*,0,I,999.9,0,0,0,0,0,0,999999,LYNCHBURG MUNICIPAL ARPT,US,VA,KLYH,37.321,-79.207,+0285.9,19480101,19721231,POINT(-79.207 37.321),2000-01-01
1950-01-01,13776,999999,1950,01,01,42.7,24,31.4,24,1034.1,24,1029.1,24,9.9,24,1.2,24,8.9,999.9,64,*,30,*,0,I,999.9,0,0,0,0,0,0,999999,LUMBERTON MUNICIPAL AP,US,NC,KLBT,34.608,-79.059,+0038.4,19490101,19550101,POINT(-79.059 34.608),2000-01-01
1950-01-01,99999,293130,1950,01,01,-26,4,9999.9,0,1026.7,4,9999.9,0,999.9,0,3.0,4,4.1,999.9,-18,*,-35,*,0.08,E,999.9,0,0,0,0,0,0,293130,PUDINO,RS,,,57.533,79.431,+0097.0,19480101,20190831,POINT(79.431 57.533),2000-01-01
1950-01-01,99999,260630,1950,01,01,4.2,5,1.8,5,1027.3,5,9999.9,0,4.5,5,1.5,4,1.9,999.9,9,,0,,0.02,E,999.9,0,0,1,0,0,0,260630,PULKOVO,RS,,ULLI,59.8,30.263,+0024.1,19310401,20190831,POINT(30.263 59.8),2000-01-01
1950-01-01,99999,340980,1950,01,01,-5.2,5,-15.4,5,1005.5,5,9999.9,0,12.4,5,9.2,5,12.0,999.9,0,,-9,,0.02,E,999.9,0,0,0,0,0,0,340980,PUGACEV,RS,,,52.033,48.833,+0038.0,19480101,20190819,POINT(48.833 52.033),2000-01-01
1950-01-01,13748,999999,1950,01,01,44.6,24,33.8,24,1033.6,24,1032.3,24,9.9,24,2.9,24,10.1,999.9,66.9,*,33.1,*,0,I,999.9,0,0,0,0,0,0,999999,WILMINGTON,US,NC,KILM,34.268,-77.9,+0011.6,19480101,19721231,POINT(-77.9 34.268),2000-01-01
1950-01-01,99999,764010,1950,01,01,71.8,6,64.7,6,1012.6,6,9999.9,0,37.3,6,14.6,6,28.0,999.9,75,*,70,*,0,I,999.9,0,0,0,0,0,0,764010,PUERTO CORTES,MX,,,22.467,-111.533,+0005.0,19490212,20121002,POINT(-111.533 22.467),2000-01-01
1950-01-01,04726,999999,1950,01,01,45.1,12,35.6,12,9999.9,0,9999.9,0,11.4,12,4.8,12,10.1,999.9,50,*,39.9,*,99.99,,999.9,1,1,0,0,0,0,999999,JOHNSTOWN CAMBRIA COUNTY AP,US,PA,KJST,40.316,-78.834,+0696.2,19480926,19510701,POINT(-78.834 40.316),2000-01-01
